name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Universität Konstanz,Fachbereich Wirtschaftswissenschaften at the Uni Konstanz,"1,610",,"1,610",b,0.791,0.882,2.8,2.2,2.3,1.8,2.4,3.3,1.9,2.3,1.6,1.7,2.4,,,,,2,2,0
Universität Konstanz,Geisteswissenschaftliche Sektion at the Uni Konstanz,210,20,190,b,0.796,,,,,,,,,,,,,c,c,,,2,2,0
Universität Konstanz,Geisteswissenschaftliche Sektion at the Uni Konstanz,310,40,270,b,0.688,,2.2,2.4,2.3,2.1,2.3,3.2,1.9,2.6,1.7,2.2,2.1,d,d,,,2,2,0
Universität Konstanz,Fachbereich Rechtswissenschaft at the Uni Konstanz,"1,690",,"1,690",c,,,2.4,2.8,2.5,2,2.6,2.9,2.4,3.1,2,1.9,2.2,,,,,0,3,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,310,64,246,b,0.718,0.536,,,,,,,,,,,,c,b,,,2,2,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,300,99,201,c,0.907,0.676,1.8,1.7,2.5,1.4,1.8,,2,1.7,1.3,1.5,1.7,d,c,,,1,1,0
Universität Konstanz,Sektion Politik - Recht - Wirtschaft at the Uni Konstanz,"1,140",258,882,b,0.96,0.764,2.3,1.8,1.9,1.7,2.2,2.3,1.5,2.1,1.4,1.8,1.8,c,a,,,1,1,0
Universität Konstanz,Mathematisch-Naturwissenschaftliche Sektion at the Uni Konstanz,780,190,590,c,0.973,0.692,2,2.2,2.4,1.7,2.4,2.8,2.2,2.2,1.8,1.9,2,d,d,,,1,2,0
Universität Konstanz,Geisteswissenschaftliche Sektion at the Uni Konstanz,110,10,100,b,0.849,,,,,,,,,,,,,c,c,,,4,4,0
Universität Konstanz,Geisteswissenschaftliche Sektion at the Uni Konstanz,290,34,256,b,0.651,,,,,,,3.1,,,,,,,b,,e,1,1,0
Universität Mannheim,Fakultät für Betriebswirtschaftslehre at the Uni Mannheim,"3,900",,"3,900",b,0.977,0.798,2.2,1.7,2,1.4,1.9,1.7,1.3,1.4,1.4,1.6,1.6,,,,,1,8,0
Universität Mannheim,Fakultät für Wirtschaftsinformatik und Wirtschaftsmathematik at the Uni Mannheim,760,,760,c,0.933,0.921,2.2,2.1,2.3,1.6,2.1,2.1,2,1.6,1.6,2.2,1.9,d,c,d,d,1,2,0
Universität Mannheim,Fakultät für Rechtswissenschaft und Volkswirtschaftslehre at the Uni Mannheim,"1,060",,"1,060",b,0.904,0.737,2.1,1.9,1.6,1.4,1.7,2.2,1.5,1.4,1.4,1.6,1.5,,,,,1,1,0
Universität Mannheim,Philosophische Fakultät at the Uni Mannheim,490,180,310,b,0.801,0.46,2.1,2.1,2,1.7,2.2,3,1.9,1.6,1.7,2.1,1.9,c,b,,,2,3,0
Universität Mannheim,Philosophische Fakultät at the Uni Mannheim,300,40,260,b,0.714,0.905,2.2,2.3,2.6,2,2.2,3.2,2.2,1.8,2.2,2.1,2.2,c,b,,,2,2,0
Universität Mannheim,Fakultät für Rechtswissenschaft und Volkswirtschaftslehre at the Uni Mannheim,"1,660",,"1,660",c,,,1.8,2.3,1.9,1.6,2.1,1.9,2.3,1.6,1.6,1.9,1.7,,,,,0,4,0
Universität Mannheim,Fakultät für Sozialwissenschaften at the Uni Mannheim,530,55,475,a,0.915,0.795,2.2,2.2,2.3,1.7,2.5,2.4,1.6,1.5,1.6,2,2,c,a,,,1,1,0
Universität Mannheim,Fakultät für Sozialwissenschaften at the Uni Mannheim,840,220,620,b,0.934,0.874,1.8,1.9,2.3,1.5,1.7,2.1,1.6,1.6,1.4,1.8,1.7,d,d,,,1,2,0
Universität Mannheim,Philosophische Fakultät at the Uni Mannheim,310,60,250,b,0.84,,2.2,2.5,2.7,2.1,2.4,3.3,2.1,1.7,2,2.3,2.4,c,c,,,4,3,0
Universität Stuttgart,Fakultät 1: Architektur und Stadtplanung at the Uni Stuttgart,"1,240",410,830,d,,0.681,2.1,2.2,2,2,2,2.7,2.3,2,1.8,1.7,1.9,d,d,,,1,3,0
Universität Stuttgart,"Fakultät 4: Energie-, Verfahrens- und Biotechnik at the Uni Stuttgart",350,122,228,b,0.877,,,,,,,,,,,,,,,,,1,1,0
Universität Stuttgart,Fakultät Wirtschafts- und Sozialwissenschaften at the Uni Stuttgart,"1,010",,"1,010",b,0.803,0.588,1.8,1.7,1.8,1.6,2,2,1.8,1.9,1.6,1.8,1.5,,,,,1,2,0
Universität Stuttgart,Gemeinsame Kommission Wirtschaftsinformatik der Universitäten Hohenheim und Stuttgart at the Uni Stuttgart,270,,270,b,0.775,0.914,,2.7,,2.8,2.8,,,2.5,2,2.8,2.8,d,d,d,c,1,1,0
Universität Stuttgart,Fakultät 3: Chemie at the Uni Stuttgart,600,161,439,c,,,,,,,,,,,,,,,,,,2,3,0
Universität Stuttgart,Fakultät 2: Bau- und Umweltingenieurwissenschaften at the Uni Stuttgart,690,490,200,b,0.667,0.568,2,2.1,1.8,1.8,3.2,,2.4,,,,2.1,d,c,d,d,4,10,0
Universität Stuttgart,"Fakultät 5: Informatik, Elektrotechnik und Informationstechnik at the Uni Stuttgart","1,740",430,"1,310",b,0.563,0.596,2.2,2.3,2,,2.4,2.4,,,1.8,2.1,2.1,d,d,,e,5,4,0
Universität Stuttgart,Fakultät 10: Wirtschafts- und Sozialwissenschaften at the Uni Stuttgart,210,70,140,,0.728,,,,,,,,,,,,,,,d,c,1,1,0
Universität Stuttgart,"Fakultät 5: Informatik, Elektrotechnik und Informationstechnik at the Uni Stuttgart","1,540",990,550,b,0.531,0.443,2.1,2.2,1.9,1.8,2.4,2.5,2.4,2.3,,1.6,1.8,d,c,d,b,1,5,0
Universität Stuttgart,Fakultät 9: Philosophisch - Historische Fakultät at the Uni Stuttgart,230,60,170,,0.646,,,,,,,,,,,,,,,,,0,0,0
Universität Stuttgart,Fakultät 2: Bau- und Umweltingenieurwissenschaften at the Uni Stuttgart,690,490,200,b,0.667,0.568,2,2.1,1.8,1.8,3.2,,2.4,,,,2.1,d,c,d,d,4,10,0
Universität Stuttgart,Fakultät 6 Luft- und Raumfahrttechnik und Geodäsie at the Uni Stuttgart,260,154,106,b,0.745,0.838,,,,,,,,,,,,d,b,e,e,1,2,0
Universität Stuttgart,Fakultät 9: Philosophisch - Historische Fakultät at the Uni Stuttgart,220,40,180,c,0.721,0.227,,,,,,,,,,,,e,d,,,1,1,0
Universität Stuttgart,Fakultät 7: Maschinenbau at the Uni Stuttgart,220,110,110,a,0.765,0.621,,,,,,,,,,,,,,,,8,16,0
Universität Stuttgart,Fakultät 7: Maschinenbau at the Uni Stuttgart,220,110,110,a,0.765,0.621,,,,,,,,,,,,,,,,8,16,0
Universität Stuttgart,Fakultät 8: Mathematik und Physik at the Uni Stuttgart,410,85,325,b,0.691,0.658,,,,,,,,,,,,b,c,,,1,1,0
Universität Stuttgart,Fakultät 7: Maschinenbau at the Uni Stuttgart,220,110,110,a,0.765,0.621,,,,,,,,,,,,,,,,8,16,0
Universität Stuttgart,Fakultät 6: Luft- und Raumfahrttechnik und Geodäsie at the Uni Stuttgart,"2,080",770,"1,310",c,0.607,0.629,2.2,2.6,1.9,1.9,2.8,2.6,2.4,2.7,,2,2,,,b,c,1,1,0
Universität Stuttgart,Fakultät 7: Maschinenbau at the Uni Stuttgart,370,180,190,a,0.75,0.388,,2.3,,2.1,,,,,,,,c,b,d,d,1,1,0
Universität Stuttgart,Fakultät 8: Mathematik und Physik at the Uni Stuttgart,420,196,224,b,0.889,0.733,2,1.8,2.1,1.6,2,,,2.3,1.5,1.5,2,d,d,,,1,2,0
