id,name,total_number_of_students,students_at_this_campus,tuition_fees,medicine_health_science_per,natural_sciences_mathematics_per,law_economic_and_social_sciences_per,humanities_languages_per,engineering_science_incl_computer_science_per,other_studies_per,bachelors_degree_per,masters_degree_percentage_per,departments
412,Evangelische Hochschule Nürnberg,1484,1484,There are no study fees.,0.327,0,0.598,0.075,0,0,0.893,0.107,"Nursing Science, Social Policy and Social Work"
414,Beuth Hochschule für Technik Berlin,12927,12927,There are no study fees.,0,0.02,0.073,0,0.839,0.069,0.728,0.268,"Architecture, Biotechnology, Business Administration, Chemical Engineering, Civil Engineering, Computer Science, Electrical / Information Engineering, Energy Systems, Environmental Civil Engineering, Industrial Engineering (Fachbereich VIII: Maschinenbau, Veranstaltungstechnik und Verfahrenstechnik), Industrial Engineering (Fachbereich I: Wirtschafts- und Gesellschaftswissenschaften), Mechanical Engineering, Mechatronics, Process Engineering (Fachbereich V Life Sciences and Technology), Process Engineering (Fachbereich VIII Maschinenbau, Veranstaltungstechnik, Verfahrenstechnik)"
415,bbw Hochschule,1086,1086,There are no study fees.,0,0,0.826,0,0.174,0,0.773,0.227,"Business Administration, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering"
418,Hochschule für Technik und Wirtschaft Berlin,13788,13788,There are no study fees.,0,0.026,0.288,0.014,0.586,0.085,0.763,0.229,"Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science (Fachbereich Informatik, Kommunikation und Wirtschaft), Computer Science (Fachbereich Ingenieurwissenschaften - Technik und Leben), Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
420,Hochschule für Wirtschaft und Recht Berlin,11436,11436,There are no study fees.,0,0,0.862,0,0.138,0,0.785,0.165,"Business Administration (Fachbereich I: Wirtschaftswissenschaften), Business Administration (Fachbereich II: Duales Studium Wirtschaft, Technik), Business Informatics (Fachbereich I: Wirtschaftswissenschaften), Business Informatics (Fachbereich II: Duales Studium Wirtschaft, Technik), Civil Engineering, Commercial / Business Law, Computer Science, Economics, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering"
422,Alice Salomon Hochschule Berlin,3883,3883,There are no study fees.,0.13,0,0.849,0.021,0,0,0.745,0.236,"Nursing Science, Social Policy and Social Work"
424,Evangelische Hochschule Berlin (EHB),1500,1500,There are no study fees.,0.193,0,0.726,0.081,0,0,0.909,0.087,"Nursing Science, Social Policy and Social Work"
426,Katholische Hochschule für Sozialwesen Berlin,1348,1348,There are no study fees.,0.187,0,0.796,0.017,0,0,0.829,0.17,Social Policy and Social Work
428,Technische Hochschule Brandenburg,2649,2649,There are no study fees.,0,0,0.27,0,0.73,0,0.741,0.238,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Process Engineering"
430,Hochschule für nachhaltige Entwicklung Eberswalde,2110,2110,There are no study fees.,0,0,0.241,0,0.139,0.619,0.672,0.322,"Business Administration, Process Engineering"
432,Brandenburgische Technische Universität Cottbus-Senftenberg,7276,1264,There are no study fees.,0.287,0.225,0.168,0,0.32,0,0.715,0.262,"Biotechnology, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Nursing Science"
434,Fachhochschule Potsdam,3443,3443,There are no study fees.,0,0,0.374,0.109,0.278,0.239,0.718,0.174,"Architecture, Civil Engineering, Social Policy and Social Work"
436,Technische Hochschule Wildau,3646,3646,There are no study fees.,0,0.037,0.446,0,0.518,0,0.749,0.245,"Biotechnology, Business Administration, Business Informatics, Commercial / Business Law, Industrial Engineering, Mechanical Engineering"
438,Hochschule Bremen,8613,8613,There are no study fees.,0.011,0.036,0.484,0.041,0.428,0.001,0.886,0.113,"Architecture, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering (Fakultät Natur und Technik), Industrial Engineering (Fakultät Wirtschaftswissenschaften), Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
440,Hochschule Bremerhaven,2952,2952,There are no study fees.,0,0.044,0.163,0,0.608,0.185,0.866,0.134,"Biotechnology, Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Process Engineering"
442,Hochschule für Angewandte Wissenschaften Hamburg,17054,17054,There are no study fees.,0.053,0.025,0.269,0.033,0.518,0.102,0.841,0.159,"Biotechnology, Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Energy Systems, Environmental Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Process Engineering, Social Policy and Social Work"
444,Evangelische Hochschule für Soziale Arbeit & Diakonie,576,576,"max. 500,00",0,0,1,0,0,0,0.792,0.208,Social Policy and Social Work
445,Bucerius Law School - Hochschule für Rechtswissenschaft,910,910,"max. 4.300,00",0,0,1,0,0,0,0.647,0.049,Law
446,Hochschule Darmstadt,16869,13234,There are no study fees.,0,0.055,0.185,0,0.721,0.039,0.765,0.193,"Architecture, Biotechnology, Business Administration (Fachbereich Wirtschaft), Business Administration (Fachbereich Gesellschaftswissenschaften), Business Psychology, Chemical Engineering, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Environmental Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Social Policy and Social Work"
448,Frankfurt University of Applied Sciences,15036,15036,There are no study fees.,0.02,0,0.422,0,0.558,0,0.838,0.151,"Architecture, Biotechnology, Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Environmental Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Process Engineering, Social Policy and Social Work"
450,Hochschule Fulda,9557,9557,There are no study fees.,0.154,0,0.484,0,0.241,0.121,0.806,0.184,"Business Administration, Business Informatics, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Nursing Science, Social Policy and Social Work"
452,Technische Hochschule Mittelhessen (THM),18583,11345,There are no study fees.,0.095,0.009,0.132,0,0.762,0.002,0.87,0.127,"Architecture, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Engineering, Interdisciplinary programmes, Mechanical Engineering, Physical Technology"
454,Hochschule RheinMain,13633,10153,There are no study fees.,0.046,0,0.51,0,0.381,0.063,0.894,0.1,"Architecture, Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Environmental Civil Engineering, Social Policy and Social Work"
459,Frankfurt School of Finance & Management,2436,2436,"min. 6.950,00",0.03,0,0.92,0,0.05,0,0.558,0.442,"Business Administration, Business Informatics, Economic Sciences"
460,Hochschule Fresenius,10755,2252,no data,0.25,0.12,0.558,0.006,0.066,0,0.802,0.198,"Biotechnology, Business Administration, Business Informatics, Chemical Engineering"
462,Evangelische Hochschule Darmstadt,1782,1579,There are no study fees.,0.082,0,0.918,0,0,0,0.79,0.196,"Nursing Science, Social Policy and Social Work"
464,Hochschule Neubrandenburg,2057,2057,There are no study fees.,0.154,0,0.398,0,0.157,0.291,0.766,0.234,"Business Administration (Fachbereich Agrarwirtschaft und Lebensmittelwissenschaften), Business Administration (Fachbereich Gesundheit, Pflege, Management), Computer Science, Interdisciplinary programmes, Nursing Science, Social Policy and Social Work"
466,Hochschule Stralsund,2331,2331,There are no study fees.,0,0,0.407,0,0.593,0,0.797,0.193,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät für Elektrotechnik und Informatik), Industrial Engineering (Fakultät für Maschinenbau), Mechanical Engineering"
468,"Hochschule Wismar - University of Applied Sciences: Technology, Business and Design",7979,7979,There are no study fees.,0.076,0,0.494,0,0.407,0.022,0.628,0.273,"Architecture, Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Process Engineering"
470,Ostfalia Hochschule für angewandte Wissenschaften,12751,5920,There are no study fees.,0,0,0.403,0,0.597,0,0.848,0.145,"Business Informatics, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät Versorgungstechnik), Industrial Engineering (Fakultät für Elektrotechnik), Mechanical Engineering, Social Policy and Social Work"
