id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
559,Hochschule Magdeburg-Stendal,"University of applied sciences, public",1991,"5,664","3,953","110,00€",There are no study fees.,14.3%,1.9%,24.5%,6.7%,45.8%,6.9%,78.4%,18.3%,0.0%,1.0%,2.3%,https://ranking.zeit.de/che/en/hochschule/559,"Civil Engineering, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work","[{'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8088?subfach=104'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9080'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8088?subfach=118'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133449'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10101?subfach=109'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100366'}]"
560,Hochschule Merseburg,"University of applied sciences, public",1992,"2,791","2,791","210,90€",There are no study fees.,0.0%,2.7%,61.2%,0.0%,36.1%,0.0%,77.9%,21.2%,0.0%,0.0%,0.8%,https://ranking.zeit.de/che/en/hochschule/560,"Business Administration, Business Informatics, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100056'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603116'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11004?subfach=111'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400306'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9083'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603094'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10032?subfach=109'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100341'}]"
562,Hochschule Harz - Hochschule für angewandte Wissenschaften (FH),"University of applied sciences, public",1991,"3,104","2,350","95,00€",There are no study fees.,0.0%,0.0%,71.7%,0.0%,28.3%,0.0%,82.3%,15.8%,0.0%,0.0%,1.8%,https://ranking.zeit.de/che/en/hochschule/562,"Business Administration, Business Informatics, Business Psychology, Computer Science (Fachbereich Automatisierung und Informatik (Informatik)), Computer Science (Fachbereich Automatisierung und Informatik (Medieninformatik)), Electrical / Information Engineering, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100057'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100329'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605229'}, {'name': 'Computer Science', 'extra': 'Fachbereich Automatisierung und Informatik (Informatik)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400307'}, {'name': 'Computer Science', 'extra': 'Fachbereich Automatisierung und Informatik (Medieninformatik)', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604208'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9126'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133362'}]"
564,Hochschule Flensburg,"University of applied sciences, public",1886,"3,866","3,866","240,00€",There are no study fees.,2.3%,0.0%,24.1%,5.6%,68.1%,0.0%,81.7%,18.3%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/564,"Biotechnology, Business Administration, Business Informatics, Computer Science, Energy Systems, Mechanical Engineering","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500689?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100058'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100293'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430015'}, {'name': 'Energy Systems', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500689?subfach=115'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10056?subfach=109'}]"
565,Fachhochschule Westküste,"University of applied sciences, public",1994,"1,923","1,923","75,00€",There are no study fees.,0.0%,0.0%,87.6%,0.0%,12.4%,0.0%,90.1%,9.9%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/565,"Business Administration, Business Psychology, Commercial / Business Law, Electrical / Information Engineering, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100059'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605118'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410538'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9057'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605311'}]"
566,Fachhochschule Kiel,"University of applied sciences, public",1969,"7,830","7,830","253,50€",There are no study fees.,2.5%,2.2%,52.1%,0.0%,36.8%,6.4%,81.8%,18.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/566,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering (Fachbereich Wirtschaft), Industrial Engineering (Fachbereich Maschinenwesen), Industrial Engineering (Fachbereich Informatik und Elektrotechnik), Mechanical Engineering, Mechatronics, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100060'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410087'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9068'}, {'name': 'Industrial Engineering', 'extra': 'Fachbereich Wirtschaft', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605460'}, {'name': 'Industrial Engineering', 'extra': 'Fachbereich Maschinenwesen', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430845'}, {'name': 'Industrial Engineering', 'extra': 'Fachbereich Informatik und Elektrotechnik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605461'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10096?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500305'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100381'}]"
568,Technische Hochschule Lübeck,"University of applied sciences, public",1808,"5,027","5,027","257,70€",There are no study fees.,0.0%,0.0%,22.3%,0.0%,77.7%,0.0%,85.7%,14.3%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/568,"Architecture, Business Administration, Chemical Engineering, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7047'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410161'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11049?subfach=111'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8049?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420541'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9072'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133431'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11049?subfach=117'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10139?subfach=109'}]"
569,NORDAKADEMIE Hochschule der Wirtschaft,"University of applied sciences, private",1992,"2,402","2,402",Public transport ticket is not included.,"min. 9.900,00€",0.0%,0.0%,69.7%,0.0%,30.3%,0.0%,63.9%,36.1%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/569,"Business Administration, Business Informatics, Computer Science, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/301130'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100430'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100428'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13032'}]"
572,Fachhochschule Wedel,"University of applied sciences, private",1948,"1,305","1,305",no data,no data,0.0%,0.0%,38.7%,0.0%,61.3%,0.0%,80.8%,19.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/572,"Business Administration, Business Informatics, Computer Science, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410159'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100400'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400313'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13050'}]"
574,Fachhochschule Erfurt,"University of applied sciences, public",1991,"3,937","3,937","243,67€",There are no study fees.,0.0%,0.0%,32.2%,0.0%,48.5%,19.4%,74.6%,22.8%,0.0%,0.2%,2.4%,https://ranking.zeit.de/che/en/hochschule/574,"Architecture, Business Administration, Civil Engineering, Computer Science, Energy Systems, Industrial Engineering (Fakultät Gebäudetechnik und Informatik), Industrial Engineering (Fakultät Wirtschaft - Logistik - Verkehr), Mechanical Engineering, Social Policy and Social Work","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7019'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100061'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8032?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420126'}, {'name': 'Energy Systems', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604255?subfach=115'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Gebäudetechnik und Informatik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600796'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Wirtschaft - Logistik - Verkehr', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11061'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11062?subfach=109'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100282'}]"
576,Ernst-Abbe-Hochschule Jena,"University of applied sciences, public",1991,"4,549","4,549","224,27€",There are no study fees.,9.4%,6.3%,28.4%,1.9%,54.0%,0.0%,68.2%,27.9%,0.0%,0.4%,3.4%,https://ranking.zeit.de/che/en/hochschule/576,"Biotechnology, Business Administration, Business Informatics, Electrical / Information Engineering (Fachbereich Elektrotechnik und Informationstechnik), Electrical / Information Engineering (Fachbereich SciTec), Environmental Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology, Social Policy and Social Work","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500480?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100062'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603095'}, {'name': 'Electrical / Information Engineering', 'extra': 'Fachbereich Elektrotechnik und Informationstechnik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9061'}, {'name': 'Electrical / Information Engineering', 'extra': 'Fachbereich SciTec', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604416'}, {'name': 'Environmental Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604266?subfach=107'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13033'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500468?subfach=117'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10088?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604415?subfach=108'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10088?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500342'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491096'}, {'name': 'Physical Technology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500468?subfach=116'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100285'}]"
577,Private Hochschule für Wirtschaft und Technik,"University of applied sciences, private",1998,581,207,no data,no data,0.0%,0.0%,88.9%,0.0%,11.1%,0.0%,93.7%,6.3%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/577,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100246'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605305'}]"
578,Hochschule Schmalkalden,"University of applied sciences, public",1991,"2,518","2,518","126,88€",There are no study fees.,0.5%,0.0%,46.8%,0.0%,52.7%,0.0%,58.6%,28.2%,0.0%,0.9%,12.2%,https://ranking.zeit.de/che/en/hochschule/578,"Business Administration, Business Informatics, Commercial / Business Law, Computer Science, Economics, Electrical / Information Engineering, Industrial Engineering (Fakultät Elektrotechnik), Industrial Engineering (Fakultät Maschinenbau), Mechanical Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100063'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100338'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400317'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400315'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603125'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9117'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Elektrotechnik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602105'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Maschinenbau', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133426'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10117?subfach=109'}]"
602,"Hochschule für Medien, Kommunikation und Wirtschaft","University of applied sciences, private",2008,"1,869",778,no data,no data,0.0%,0.0%,81.9%,0.0%,0.0%,18.1%,79.7%,20.2%,0.0%,0.0%,0.1%,https://ranking.zeit.de/che/en/hochschule/602,"Business Administration, Business Psychology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603096'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605044'}]"
603,"hwtk - Internationale Hochschule für Wirtschaft, Technik und Kultur","University of applied sciences, private",2011,437,437,Public transport ticket is not included.,"min. 580,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,86.0%,11.4%,0.0%,0.0%,2.5%,https://ranking.zeit.de/che/en/hochschule/603,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600767'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603097'}]"
604,Steinbeis-Hochschule Berlin (SHB),"University, private",1998,"8,142","8,142",no data,There are no study fees.,14.1%,0.0%,82.3%,0.0%,3.7%,0.0%,68.2%,31.8%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/604,"Business Administration, Business Informatics, Industrial Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600769'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605008'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603103'}]"
609,Wilhelm Löhe Hochschule,"University of applied sciences, private",2012,193,193,no data,min. 1.600€,50.3%,0.0%,49.7%,0.0%,0.0%,0.0%,93.3%,6.7%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/609,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600800'}]"
610,Munich Business School,"University of applied sciences, private",1991,604,604,no data,"min. 24.000,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,39.1%,60.9%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/610,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410068'}]"
616,"DIPLOMA Hochschule, Fachhochschule Nordhessen","University of applied sciences, private",1997,"6,476",439,no data,no data,0.0%,0.0%,38.7%,0.0%,53.3%,8.0%,100.0%,0.0%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/616,"Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Industrial Engineering, Mechatronics, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100231'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600825'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605188'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410014'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600826'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500560'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603104'}]"
619,FOM Hochschule für Oekonomie & Management,"University of applied sciences, private",1994,"50,095","4,302",no data,There are no study fees.,12.1%,0.0%,78.8%,0.0%,9.1%,0.0%,79.2%,20.8%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/619,"Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410106'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410108'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605281'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410107'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600845'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605279'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600846?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600847'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604171'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605280'}]"
621,Evangelische Hochschule Ludwigsburg,"University of applied sciences, churchly",1999,"1,272","1,202","191,80€",There are no study fees.,5.2%,0.0%,78.9%,16.0%,0.0%,0.0%,91.3%,8.7%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/621,"Nursing Science, Social Policy and Social Work","[{'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604141'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410141'}]"
626,Zeppelin Universität,"University, private",2003,928,928,no data,"min. 12.000,00€",0.0%,0.0%,80.6%,19.4%,0.0%,0.0%,72.3%,23.5%,0.0%,0.0%,4.2%,https://ranking.zeit.de/che/en/hochschule/626,"Economic Sciences, Political Science","[{'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410246'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430594'}]"
628,Europäische Fachhochschule Rhein/Erft - Brühl,"University of applied sciences, private",2001,"1,647","1,179",no data,no data,0.0%,0.0%,91.6%,0.0%,8.4%,0.0%,81.9%,15.7%,0.0%,0.0%,2.4%,https://ranking.zeit.de/che/en/hochschule/628,"Business Administration (Fachbereich General Management), Business Administration (Fachbereich Handels- und Logistikmanagement), Business Administration (Business School), Business Informatics, Industrial Engineering","[{'name': 'Business Administration', 'extra': 'Fachbereich General Management', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440194'}, {'name': 'Business Administration', 'extra': 'Fachbereich Handels- und Logistikmanagement', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410248'}, {'name': 'Business Administration', 'extra': 'Business School', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603107'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430568'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600669'}]"
643,accadis Hochschule Bad Homburg,"University of applied sciences, private",1990,515,515,"350,00€","min. 5.160,00€",0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,79.8%,20.2%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/643,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410524'}]"
644,hochschule 21,"University of applied sciences, private",2005,"1,044","1,044",no data,There are no study fees.,25.3%,0.0%,13.8%,0.0%,60.9%,0.0%,99.0%,0.4%,0.0%,0.0%,0.6%,https://ranking.zeit.de/che/en/hochschule/644,"Architecture, Civil Engineering, Industrial Engineering, Mechatronics, Nursing Science","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500000'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440128?subfach=104'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605173'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500562'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604163'}]"
652,Provadis Hochschule,"University of applied sciences, private",2003,"1,162","1,162",no data,no data,0.0%,5.2%,69.1%,0.0%,25.7%,0.0%,86.5%,13.5%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/652,"Biotechnology, Business Administration, Business Informatics, Chemical Engineering, Interdisciplinary programmes","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500064?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430612'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430613'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500064?subfach=111'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500064?subfach=117'}]"
653,Touro College Berlin,"University of applied sciences, private",2003,127,127,"200,00€","min. 4.500,00€",0.0%,0.0%,90.6%,9.4%,0.0%,0.0%,86.6%,13.4%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/653,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430628'}]"
654,HSBA Hamburg School of Business Administration,"University of applied sciences, private",2004,"1,020","1,020",no data,"min. 425,00€",0.0%,0.0%,94.4%,0.0%,5.6%,0.0%,70.2%,29.8%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/654,"Business Administration, Business Informatics","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430632'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603238'}]"
656,Karlshochschule International University,"University of applied sciences, private",2005,507,507,"67,70€","max. 690,00€",0.0%,0.0%,94.3%,5.7%,0.0%,0.0%,85.0%,8.1%,0.0%,0.0%,6.9%,https://ranking.zeit.de/che/en/hochschule/656,Business Administration,"[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430706'}]"
661,FHDW Fachhochschule für die Wirtschaft Hannover,"University of applied sciences, private",1996,536,536,"294,00€","min. 490,00€",0.0%,0.0%,74.3%,0.0%,25.7%,0.0%,81.3%,18.7%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/661,"Business Administration, Business Informatics, Computer Science","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100450'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100447'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604132'}]"
