name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,"Sport Science (B, 2 major subjects)",6 semesters,180,164,55,,,51,49,0,,,,,c,a,b,c,master
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,Sport Science - Applied Motion and Health (M.Sc.),4 semesters,120,67,18,,,52,48,0.03,c,c,b,c,a,a,b,b,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Biosciences (B.Sc.),6 semesters,180,430,153,92,0.766,32,68,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Biochemistry (B.Sc.),6 semesters,180,73,23,20,1,41,59,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Molecular Biosciences (M.Sc.),4 semesters,120,406,124,117,,38,62,0.33,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,Biochemistry (M.Sc.),4 semesters,120,69,21,,,49,51,0.09,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Chemistry (B.Sc.),6 semesters,180,363,135,45,,72,28,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Biochemistry (B.Sc.),6 semesters,180,73,23,,,41,59,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Chemistry (M.Sc.),4 semesters,120,212,75,,,73,27,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Biochemistry (M.Sc.),4 semesters,120,69,21,,,49,51,,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Medical Computer Science (B.Sc.),6 semesters,180,124,43,38,0.831,57,43,,,,,,e,a,a,c,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Medical Computer Science (M.Sc.),4 semesters,120,71,25,22,0.791,59,41,,d,c,c,d,e,b,a,c,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Applied Computer Science (B.Sc.),6 semesters,180,392,89,32,0.429,85,15,0.15,d,a,d,d,e,d,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,"Applied Computer Science (B.Sc.,  option for teacher qualification)",6 semesters,180,24,,,,71,29,0.04,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Applied Computer Science (M.Sc.),4 semesters,120,115,43,22,0.444,81,19,0.1,d,a,a,b,e,d,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Computer Engineering (M.Sc.),4 semesters,120,53,12,10,,4,2,0.08,d,b,d,d,e,d,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,Dentistry (State Examination),,,485,80,60,,40,60,0.08,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät für Wirtschafts- und Sozialwissenschaften at the Uni Heidelberg,Political Economics (B.Sc.),6 semesters,180,880,248,128,0.69,64,36,0.07,,,,,,,,,bachelor
